frame,time_sec,hand,legacy_root_z_m,anycalib_root_z_m,e2_root_z_m
0,0.0,Left,2.315434,0.485139,0.541487
0,0.0,Right,1.160926,0.245699,0.273876
1,0.033,Left,2.316515,0.485362,0.541738
1,0.033,Right,1.160537,0.245617,0.273785
2,0.067,Left,2.323251,0.486759,0.543299
2,0.067,Right,1.17617,0.248861,0.277409
3,0.1,Left,2.334124,0.489015,0.545819
3,0.1,Right,1.178118,0.249267,0.277863
4,0.133,Left,2.321113,0.486316,0.542804
4,0.133,Right,1.190102,0.251748,0.280637
5,0.167,Left,2.33334,0.488852,0.545637
5,0.167,Right,1.195651,0.252897,0.281921
6,0.2,Left,2.338611,0.489944,0.546858
6,0.2,Right,1.207658,0.255389,0.284706
7,0.233,Left,2.303449,0.482652,0.538708
7,0.233,Right,1.22206,0.258377,0.288045
8,0.267,Left,2.3167,0.485399,0.541779
8,0.267,Right,1.206049,0.255055,0.284333
9,0.3,Left,2.297468,0.481412,0.537322
9,0.3,Right,1.204788,0.254793,0.28404
10,0.333,Left,2.273477,0.476437,0.531762
10,0.333,Right,1.203528,0.254533,0.283749
11,0.367,Left,2.284986,0.478823,0.534429
11,0.367,Right,1.209033,0.255672,0.285023
12,0.4,Left,2.266983,0.47509,0.530256
12,0.4,Right,1.197951,0.253375,0.282455
13,0.433,Left,2.284865,0.478799,0.534402
13,0.433,Right,1.184971,0.250683,0.279447
14,0.467,Left,2.280602,0.477914,0.533413
14,0.467,Right,1.172263,0.248049,0.276502
15,0.5,Left,2.260139,0.473671,0.52867
15,0.5,Right,1.1792,0.249488,0.27811
16,0.533,Left,2.261374,0.473926,0.528956
16,0.533,Right,1.194507,0.252662,0.281658
17,0.567,Left,2.273791,0.476502,0.531835
17,0.567,Right,1.191642,0.252068,0.280994
18,0.6,Left,2.267958,0.475292,0.530483
18,0.6,Right,1.196051,0.252982,0.282016
19,0.633,Left,2.24949,0.471463,0.526202
19,0.633,Right,1.20474,0.254781,0.284027
20,0.667,Left,2.257284,0.473079,0.528009
20,0.667,Right,1.202568,0.25433,0.283523
21,0.7,Left,2.227663,0.466938,0.521144
21,0.7,Right,1.197216,0.253222,0.282284
22,0.733,Left,2.218022,0.464939,0.51891
22,0.733,Right,1.20576,0.254993,0.284264
23,0.767,Left,2.217373,0.464804,0.51876
23,0.767,Right,1.187345,0.251178,0.279999
24,0.8,Left,2.218067,0.464948,0.518921
24,0.8,Right,1.183918,0.250466,0.279204
